x;y
[41.0, 0.0, -1.0, 0.0, 0.0, 24.0, 1.0, 2.0, 0.0];0
[20.0, 0.0, -1.0, 0.0, 0.0, 22.0, 0.0, 0.0, 0.0];1
[28.0, 3.0, -1.0, 0.0, 0.0, 18.0, 1.0, 3.0, 1.0];1
[27.0, 2.0, -10.0, 0.0, 0.0, 240.0, 1.0, 3.0, 0.0];0
[35.0, 0.0, -1.0, 1.0, 1.0, 21.0, 1.0, 2.0, 1.0];0
[35.0, 0.0, -1.0, 0.0, 0.0, 25.0, 1.0, 0.0, 0.0];0
[21.0, 3.0, -1.0, 1.0, 1.0, 103.0, 1.0, 0.0, 0.0];1
[26.0, 0.0, -1.0, 1.0, 1.0, 23.0, 1.0, 0.0, 1.0];0
[57.0, 2.0, -11.0, 0.0, 0.0, 50.0, 1.0, 2.0, 0.0];0
[24.0, 3.0, 0.0, 1.0, 1.0, 6.0, 1.0, 0.0, 0.0];1
[37.0, 17.0, 0.0, 1.0, 1.0, 48.0, 1.0, 0.0, 0.0];1
[46.0, 3.0, -22.0, 1.0, 1.0, 495.0, 1.0, 0.0, 1.0];0
[22.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0];1
[31.0, 0.0, -1.0, 0.0, 0.0, 28.0, 1.0, 5.0, 1.0];0
[22.0, 0.0, -2.0, 0.0, 0.0, 24.0, 1.0, 2.0, 0.0];0
[27.0, 0.0, -1.0, 0.0, 0.0, 22.0, 1.0, 5.0, 1.0];0
[33.0, 2.0, -1.0, 1.0, 1.0, 20.0, 1.0, 0.0, 0.0];1
[19.0, 0.0, -1.0, 1.0, 1.0, 22.0, 1.0, 0.0, 0.0];0
[25.0, 5.0, -3.0, 1.0, 1.0, 2.0, 1.0, 2.0, 1.0];1
[43.0, 23.0, -1.0, 0.0, 0.0, 2449.0, 1.0, 0.0, 0.0];1
[26.0, 6.0, 0.0, 1.0, 1.0, 27.0, 1.0, 0.0, 1.0];1
[38.0, 11.0, -1.0, 0.0, 0.0, 433.0, 1.0, 0.0, 0.0];1
[23.0, 2.0, -1.0, 0.0, 0.0, 847.0, 1.0, 3.0, 0.0];1
[22.0, 0.0, -1.0, 0.0, 0.0, 26.0, 1.0, 0.0, 0.0];0
[31.0, 15.0, 0.0, 0.0, 0.0, -4.0, 1.0, 0.0, 0.0];1
[27.0, 4.0, -1.0, 1.0, 1.0, 27.0, 1.0, 2.0, 1.0];0
[25.0, 1.0, -1.0, 0.0, 0.0, 16.0, 1.0, 5.0, 0.0];0
[33.0, 0.0, -1.0, 0.0, 0.0, 30.0, 1.0, 2.0, 0.0];0
[37.0, 0.0, -3.0, 0.0, 0.0, 15.0, 0.0, 3.0, 1.0];0
[29.0, 17.0, 0.0, 1.0, 1.0, 51.0, 1.0, 3.0, 0.0];1
[42.0, 7.0, 0.0, 1.0, 1.0, 48.0, 1.0, 0.0, 0.0];1
[34.0, 10.0, -1.0, 1.0, 1.0, 19.0, 1.0, 0.0, 0.0];1
[23.0, 2.0, -1.0, 1.0, 1.0, 146.0, 1.0, 0.0, 0.0];1
[45.0, 4.0, -1.0, 1.0, 1.0, 104.0, 1.0, 2.0, 1.0];0
[66.0, 0.0, -1.0, 0.0, 0.0, 47.0, 1.0, 2.0, 1.0];0
[55.0, 0.0, -1.0, 0.0, 0.0, 27.0, 1.0, 2.0, 1.0];0
[53.0, 20.0, -3.0, 0.0, 0.0, 76.0, 1.0, 0.0, 0.0];1
[26.0, 5.0, -1.0, 0.0, 0.0, 23.0, 1.0, 0.0, 0.0];0
[22.0, 0.0, -1.0, 1.0, 1.0, 24.0, 1.0, 2.0, 1.0];0
[20.0, 0.0, 0.0, 1.0, 1.0, 20.0, 1.0, 2.0, 0.0];0
[45.0, 2.0, -1.0, 0.0, 0.0, 1133.0, 1.0, 3.0, 0.0];0
[31.0, 0.0, -1.0, 0.0, 0.0, 23.0, 1.0, 0.0, 0.0];1
[22.0, 0.0, -1.0, 1.0, 1.0, 1704.0, 1.0, 0.0, 0.0];0
[26.0, 4.0, -1.0, 1.0, 0.0, 22.0, 1.0, 0.0, 0.0];1
[35.0, 2.0, 0.0, 1.0, 0.0, 6.0, 1.0, 2.0, 1.0];0
[21.0, 0.0, 0.0, 1.0, 1.0, 6.0, 1.0, 2.0, 0.0];1
[36.0, 0.0, -1.0, 0.0, 0.0, 45.0, 1.0, 0.0, 1.0];1
[49.0, 8.0, -24.0, 0.0, 0.0, 577.0, 1.0, 2.0, 0.0];0
[39.0, 19.0, -1.0, 1.0, 1.0, 22.0, 1.0, 0.0, 1.0];1
[59.0, 0.0, 0.0, 0.0, 0.0, 6.0, 1.0, 2.0, 1.0];0
[29.0, 2.0, -24.0, 0.0, 0.0, 552.0, 1.0, 2.0, 0.0];0
[36.0, 1.0, -1.0, 0.0, 0.0, 24.0, 0.0, 0.0, 1.0];0
[35.0, 2.0, -1.0, 1.0, 1.0, 50.0, 1.0, 2.0, 0.0];0
[23.0, 2.0, -1.0, 1.0, 1.0, 48.0, 1.0, 0.0, 0.0];1
[47.0, 0.0, -1.0, 1.0, 1.0, 24.0, 1.0, 2.0, 1.0];0
[21.0, 0.0, 0.0, 1.0, 1.0, 5.0, 1.0, 0.0, 0.0];1
[30.0, 8.0, -1.0, 1.0, 1.0, 1317.0, 1.0, 0.0, 0.0];1
[21.0, 2.0, -1.0, 1.0, 1.0, 436.0, 1.0, 0.0, 0.0];1
[20.0, 1.0, -1.0, 1.0, 1.0, 25.0, 0.0, 0.0, 0.0];1
[48.0, 4.0, 0.0, 0.0, 0.0, 6.0, 1.0, 0.0, 0.0];1
[22.0, 3.0, -11.0, 1.0, 1.0, 190.0, 1.0, 0.0, 0.0];1
[32.0, 0.0, -1.0, 0.0, 0.0, 21.0, 0.0, 0.0, 1.0];0
[25.0, 6.0, 0.0, 1.0, 1.0, 3.0, 1.0, 0.0, 0.0];1
[56.0, 3.0, -27.0, 1.0, 1.0, 27.0, 1.0, 0.0, 1.0];0
[25.0, 7.0, -1.0, 1.0, 1.0, 74.0, 1.0, 0.0, 1.0];1
[31.0, 0.0, -1.0, 0.0, 0.0, 935.0, 1.0, 2.0, 1.0];1
[61.0, 1.0, -1.0, 0.0, 0.0, 21.0, 1.0, 2.0, 1.0];0
[58.0, 0.0, 0.0, 0.0, 0.0, 7.0, 1.0, 5.0, 0.0];0
[23.0, 4.0, 0.0, 1.0, 1.0, 4625.0, 1.0, 0.0, 0.0];1
[47.0, 2.0, -25.0, 0.0, 0.0, 27.0, 1.0, 2.0, 1.0];0
[32.0, 1.0, -1.0, 0.0, 0.0, 2370.0, 1.0, 0.0, 0.0];0
[34.0, 1.0, -1.0, 0.0, 0.0, 96.0, 1.0, 3.0, 0.0];0
[29.0, 7.0, -2.0, 1.0, 1.0, 16.0, 1.0, 3.0, 0.0];1
[29.0, 0.0, -1.0, 0.0, 0.0, 23.0, 1.0, 2.0, 1.0];0
[22.0, 0.0, -1.0, 1.0, 1.0, 25.0, 0.0, 0.0, 0.0];0
[35.0, 1.0, 0.0, 1.0, 1.0, 27.0, 1.0, 0.0, 0.0];0
[34.0, 0.0, -1.0, 0.0, 0.0, 55.0, 1.0, 0.0, 0.0];0
[53.0, 1.0, -6.0, 0.0, 0.0, 151.0, 1.0, 2.0, 0.0];0
[41.0, 1.0, -1.0, 1.0, 1.0, 1392.0, 1.0, 2.0, 0.0];0
[44.0, 0.0, -1.0, 0.0, 0.0, 15.0, 1.0, 0.0, 0.0];0
[22.0, 3.0, 20.0, 1.0, 1.0, 5144.0, 1.0, 0.0, 0.0];1
[49.0, 4.0, -8.0, 1.0, 0.0, 103.0, 1.0, 2.0, 1.0];1
[57.0, 3.0, -2.0, 0.0, 0.0, 24.0, 1.0, 3.0, 0.0];0
[27.0, 0.0, -1.0, 1.0, 1.0, 122.0, 1.0, 0.0, 1.0];0
[59.0, 2.0, -1.0, 1.0, 1.0, 162.0, 1.0, 2.0, 1.0];0
[22.0, 0.0, -1.0, 1.0, 1.0, 26.0, 1.0, 0.0, 0.0];0
[61.0, 2.0, -1.0, 1.0, 1.0, 73.0, 1.0, 3.0, 0.0];0
[21.0, 0.0, -5.0, 0.0, 0.0, 22.0, 1.0, 3.0, 0.0];0
